1599678146.58,6189101,13180795,0.0,140210176,0.0,264216576
1599678146.85,6193569,13183966,7.6,140210176,26.5,264216576
1599678147.12,6198720,13187361,7.6,140210176,26.5,264216576
1599678147.38,6203227,13190716,3.8,140210176,26.5,264216576
1599678147.65,6207450,13194061,11.3,140210176,34.0,264216576
1599678147.91,6214554,13197400,11.3,140345344,30.0,264216576
1599678148.18,6225883,13200746,7.5,140353536,29.5,264216576
1599678148.45,6236321,13204070,11.1,140218368,29.6,264216576
1599678148.72,6247756,13207787,3.7,140218368,22.5,264216576
1599678148.99,6258183,13211054,7.5,140218368,30.1,264216576
1599678149.25,6267975,13214192,11.3,140218368,30.3,264216576
1599678149.52,6277772,13217558,3.8,140218368,30.1,264216576
1599678149.78,6289304,13220999,11.3,140218368,26.3,264216576
1599678150.05,6299131,13224423,3.7,140218368,26.2,264216576
1599678150.31,6310518,13227642,7.6,140218368,30.2,264216576
1599678150.58,6321059,13231057,7.5,140218368,30.2,264216576
1599678150.84,6332625,13234396,7.5,140218368,26.2,264216576
1599678151.11,6342645,13237498,3.8,140218368,30.3,264216576
1599678151.37,6353712,13240798,7.6,140218368,29.7,264216576
1599678151.64,6365399,13244160,7.4,140218368,26.4,264216576
1599678151.91,6375122,13247670,7.5,140218368,26.1,264216576
1599678152.18,6386977,13251125,3.7,140218368,26.0,264216576
1599678152.45,6397513,13254611,7.4,140218368,29.4,264216576
1599678152.72,6407763,13257856,7.4,140218368,26.4,264216576
1599678152.98,6417586,13261321,7.0,140218368,31.0,264216576
1599678153.27,6429429,13264967,11.1,140218368,33.4,264216576
1599678153.54,6440659,13267958,3.7,140218368,22.2,264216576
1599678153.81,6452258,13271483,7.4,140218368,29.8,264216576
1599678154.08,6460870,13274723,11.1,140218368,33.2,264216576
1599678154.35,6471123,13278146,11.2,140218368,34.1,264216576
1599678154.62,6482326,13281823,3.8,140218368,22.3,264216576
1599678154.89,6492359,13285162,7.4,140218368,33.7,264216576
1599678155.15,6502344,13288426,7.5,140218368,26.5,264216576
1599678155.42,6514118,13292008,7.3,140218368,32.5,264216576
1599678155.69,6525638,13295586,3.8,140218368,22.7,264216576
1599678155.96,6535871,13299045,11.3,140267520,30.3,264216576
1599678156.22,6549494,13302751,83.4,141373440,28.8,264216576
1599678156.5,6565497,13306527,91.7,141373440,22.1,264216576
1599678156.77,6584883,13310591,82.3,141377536,29.9,264216576
1599678157.04,6603134,13314641,82.6,141402112,26.5,264216576
1599678157.3,6622717,13318234,90.4,141434880,30.1,264216576
1599678157.57,6641239,13321903,81.7,141479936,25.8,264216576
1599678157.84,6668918,13325729,81.5,141524992,30.0,264216576
1599678158.11,6696235,13329403,78.5,141533184,29.9,264216576
1599678158.38,6709136,13333365,83.6,141565952,26.6,264216576
1599678158.64,6723614,13336766,75.4,141594624,29.5,264216576
1599678158.91,6740450,13340827,91.2,141635584,29.1,264216576
1599678159.19,6761509,13344648,97.5,141701120,21.9,264216576
1599678159.46,6779729,13348610,90.1,141717504,25.6,264216576
1599678159.73,6801033,13352692,86.8,141758464,29.4,264216576
1599678160.0,6829814,13356917,88.4,141819904,33.8,264216576
1599678160.27,6852352,13360747,78.5,141828096,26.1,264216576
1599678160.54,6866553,13364399,74.3,141889536,26.0,264216576
1599678160.81,6879581,13367960,67.3,141897728,26.2,264216576
1599678161.08,6889269,13371692,74.5,141914112,33.4,264216576
