1600820026.18,3488372,20991353,0.0,135761920
1600820026.44,3489729,20992928,17.9,135761920
1600820026.72,3491001,20994168,17.7,135761920
1600820027.0,3492369,20995434,26.0,135749632
1600820027.27,3493422,20996487,21.3,135749632
1600820027.55,3494556,20997621,21.9,135749632
1600820027.83,3495784,20998755,18.6,135753728
1600820028.09,3497222,21000225,18.5,135761920
1600820028.37,3498389,21001425,32.0,135761920
1600820028.65,3499655,21002610,21.3,135761920
1600820028.93,3500789,21004364,21.6,135782400
1600820029.21,3501923,21005498,24.6,135782400
1600820029.49,3503276,21006738,21.3,135782400
1600820029.77,3504329,21008047,25.1,135782400
1600820030.05,3505463,21009100,17.9,135786496
1600820030.33,3506691,21010234,21.4,135786496
1600820030.61,3507906,21011368,25.2,135786496
1600820030.89,3509040,21012502,14.0,135786496
1600820031.18,3510093,21013717,21.0,135786496
1600820031.46,3511308,21014770,25.0,135786496
1600820031.74,3512548,21016042,17.7,135786496
1600820032.02,3513682,21017257,17.9,135786496
1600820032.3,3515060,21018635,21.3,135786496
1600820032.59,3516275,21019863,21.8,135786496
1600820032.86,3517422,21020916,21.0,135786496
1600820033.15,3518670,21022131,21.5,135802880
1600820033.43,3519870,21023397,21.2,135802880
1600820033.71,3521310,21024769,17.7,135802880
1600820033.99,3522525,21026005,20.9,135802880
1600820034.28,3523578,21027220,17.7,135806976
1600820034.56,3524793,21028273,21.5,135806976
1600820034.84,3525927,21029407,21.4,135806976
1600820035.12,3527127,21030688,21.0,135806976
1600820035.41,3528261,21031822,21.1,135806976
1600820035.69,3529476,21033050,27.8,135176192
1600820035.98,3530529,21034265,30.9,134426624
1600820036.24,3531663,21035237,23.1,134434816
1600820036.5,3532888,21036575,25.7,134709248
1600820036.77,3534073,21037760,18.0,134709248
1600820037.05,3535207,21039077,21.5,134709248
1600820037.33,3536513,21040334,17.5,134709248
1600820037.61,3537741,21041468,21.2,134709248
1600820037.9,3539237,21042789,77.1,147329024
1600820038.15,3541158,21044295,93.6,136839168
1600820038.41,3543040,21045547,89.2,136953856
1600820038.67,3545021,21046987,97.0,136953856
1600820038.93,3546846,21048507,85.5,136994816
1600820039.19,3548792,21049972,96.8,137027584
1600820039.46,3550641,21051320,95.1,137027584
1600820039.72,3552471,21052694,91.6,137027584
1600820039.98,3554320,21053987,97.4,137035776
1600820040.23,3556088,21055254,97.4,137039872
1600820040.49,3557775,21056803,93.3,137129984
1600820040.75,3559543,21057989,89.0,137129984
1600820041.01,3561405,21059363,97.0,137068544
1600820041.27,3563389,21060781,96.3,137076736
